ID,DATE,QUALITY,MIN_5CM,MIN_2M,MEAN_2M,MAX_2M,REL_HUMIDITY,MEAN_WIND_STRENGTH,MAX_WIND_SPEED,SUNSHINE,MEAN_CLOUDINESS,PRECIPITATION,MEAN_PRESSURE
891,2020-04-10,3,3.2,5.5,7.1,8.8,76.04,4,8.3,9.017,5.3,0,1027.13,
891,2020-04-11,3,2.1,5.7,9.7,13.3,71.67,2.4,5.3,11.483,3.8,0,1023.78,
891,2020-04-12,3,4.6,8.3,11.4,17.2,66.38,4,13.8,11.95,3.3,0,1013.45,
891,2020-04-13,3,2.7,4.3,6.7,8.6,62.25,12.4,20.7,8.233,5.5,0.3,1018,
891,2020-04-14,3,3.6,4.6,6.4,8.8,69.38,6.7,13.4,3.9,7.3,0.2,1022.55,
891,2020-04-15,3,4.2,6.2,8.7,11.9,74.13,6.6,14.2,12.217,3,0,1020.73,
891,2020-04-16,3,3.5,6.5,8.8,11.8,81.21,5,9.8,10.4,7.5,0,1017.3,
891,2020-04-17,3,4,6.2,8.1,10,75.04,3.3,8.3,10.95,2.7,0,1018.24,
891,2020-04-18,3,4,6.1,10.3,15.1,60.38,6.1,11.3,12.933,0,0,1018.06,
891,2020-04-19,3,3.4,5.5,9.5,13.1,57.63,7.6,13.2,13.167,0.1,0,1022.71,
891,2020-04-20,3,4.2,5.8,10.2,14.7,59.29,8.8,15.8,13.367,0,0,1025.15,
891,2020-04-21,3,5.8,6.9,10.9,14.3,63.17,10.8,17.5,13.417,0,0,1024.85,
891,2020-04-22,3,6.1,7.5,11.5,15.4,66.54,7.7,13.7,13.467,0,0,1025.12,
891,2020-04-23,3,5.3,8,12.4,17.4,71.21,4.3,9.6,13.167,2.7,0,1020.3,
891,2020-04-24,3,7.1,8.1,9.7,12.5,79.92,7.1,16,5.383,6.1,0,1010.81,
891,2020-04-25,3,6.1,7.8,9.8,12.5,80.29,6.1,12.5,13.5,3.1,0,1011.47,
891,2020-04-26,3,-0.5,5.9,8.4,11.2,67.63,3.3,7.8,4.45,5.1,0,1010.68,
891,2020-04-27,3,2.6,5.1,11.3,19.1,69.79,2.8,10.6,11.7,3.5,0,1006.12,
891,2020-04-28,3,7,7.9,9.6,12,79.54,4.1,9.3,1.667,7.5,4.2,1004.52,
891,2020-04-29,3,3,7.8,9.5,12.3,91.25,4.2,11.8,0,6.7,6.2,1002.48,
891,2020-04-30,3,8.3,8.9,11.1,13.7,82.42,4.1,16.8,4.1,6.8,0.9,998.24,
891,2020-05-01,3,6.7,7.4,9.9,14.2,80.63,3.4,12.8,3.917,7.3,14.9,996.93,
891,2020-05-02,3,7.1,7.4,9.9,12.4,83.38,5.3,11.2,2.5,6.8,0,1003.53,
891,2020-05-03,3,6.8,8.8,10.1,12.4,81.17,4.6,8.4,6,6.7,0,1014.56,
891,2020-05-04,3,2.6,7.5,9.4,11.6,70.67,6,12.5,10.567,3.8,0,1018.23,
891,2020-05-05,3,6,7.9,9.9,12.3,66.63,6.9,11.7,13.833,1.3,0,1020.8,
891,2020-05-06,3,5.5,8.2,9.7,11.4,73.71,5.9,12,13.033,2.5,0,1023.88,
891,2020-05-07,3,0.8,7.5,10.1,12.3,78.54,4.9,11.3,6.35,6.2,0,1021.83,
891,2020-05-08,3,-0.5,7.1,12.7,18,59.96,2.9,7.9,14.283,3,0,1017.31,
891,2020-05-09,3,6.8,11.3,14,18,72.21,2.2,6.4,11.583,2.8,0,1013.27,
891,2020-05-10,3,5.5,7.9,12.2,17.2,78.04,6.3,19.5,10.267,6.6,0,1006.92,
891,2020-05-11,3,5.3,6.1,8.5,11.1,61.38,7.4,17.2,11.9,4,0,1011.84,
891,2020-05-12,3,2.6,5.7,8,10.8,71.08,7.1,16.4,5.267,7,2.5,1013.54,
891,2020-05-13,3,2.9,5.7,8.1,10.5,75.83,4.3,13.4,4.233,6.1,3.7,1011.66,
891,2020-05-14,3,2.5,5.7,8.1,10.6,64.21,5,12.5,11.3,1.8,0,1018.74,
891,2020-05-15,3,1.8,5.9,9.4,12.9,73.67,6.3,14.9,3.217,5.1,0,1018.66,
891,2020-05-16,3,6.4,8.6,11,15.6,74.79,5.9,14.7,2.417,6.4,0,1018.6,
891,2020-05-17,3,6.6,8.8,12.1,16.3,74.04,6.9,15.7,11.333,4.3,0,1019.54,
891,2020-05-18,3,10.4,11.4,13,15.7,79.46,5.4,14.3,0.55,7.9,0.5,1018.71,
891,2020-05-19,3,7.7,10.4,13,15.9,86.42,5,12.3,8.85,6.4,0,1019.48,
891,2020-05-20,3,10,11.4,13.6,16.1,78.42,2.6,6.1,11.783,4.8,0,1022.25,
891,2020-05-21,3,9.7,11,15.7,19.4,76.46,3.2,9.4,13.75,2.8,0,1021.42,
891,2020-05-22,3,11.3,13.5,15.8,19.1,77.46,3.8,12.6,1.217,7.9,7.8,1016.01,
891,2020-05-23,3,9.1,11.3,13.9,15.7,74.04,6,18.8,7.517,5.7,1.4,1017.26,
891,2020-05-24,3,10,11.6,13.1,15.1,79.38,7.7,17,6.3,6.2,0,1021.63,
891,2020-05-25,3,9.8,9.9,11.3,12.1,80.54,7.9,16.6,0.033,7.6,0,1029.78,
891,2020-05-26,3,1.7,9.6,11.5,14.2,86.29,2.6,6.1,7.567,6.4,0,1034.28,
891,2020-05-27,3,1.8,9.4,13,15.8,81.58,5.1,16.2,8.133,5,0,1032.68,
891,2020-05-28,3,9.1,10.6,12.6,14.8,73.96,6.7,11.7,15.017,2.2,0,1032.33,
891,2020-05-29,3,8.3,10,13.6,17.8,75.38,3.8,9.4,15.383,0,0,1028.8,
891,2020-05-30,3,7,12.3,15.8,20.2,68.08,4.2,10.3,11.5,2.5,0,1025.27,
891,2020-05-31,3,11.8,13.1,16.5,20.2,60.92,6,14.3,10.733,6.1,0,1024.6,
891,2020-06-01,3,10.5,12,17.2,22.6,64.13,5.6,11.7,13.95,3.6,0,1023.93,
891,2020-06-02,3,11.6,13.9,18.4,23.4,65.21,3.5,7.8,14.467,7.3,0,1016.6,
891,2020-06-03,3,14.1,15.6,18.3,23.2,72.79,5.1,13,8.917,7.8,5,1003.33,
891,2020-06-04,3,10.7,11.5,14.5,17.4,84.5,5.2,12.6,2.717,7.7,5.8,992.95,
891,2020-06-05,3,7.5,8.7,11.8,16.3,73.21,5.3,17,5.917,6.6,8.4,990.01,
891,2020-06-06,3,7,8.6,11.8,15.9,72.71,4.8,15.6,8.533,5.9,1,996,
891,2020-06-07,3,5.3,9.6,12.4,15.2,73.88,4.1,14.5,4.967,5.2,1.1,1003.4,
891,2020-06-08,3,4.3,10.1,13.3,16.1,79.38,3.9,9.7,11.017,2.2,0,1012.75,
891,2020-06-09,3,9.7,11.6,13.4,15.4,68.04,3.6,8.1,11.15,3.3,0.6,1017.79,
891,2020-06-10,3,10.9,12.5,15.7,19.8,76.75,3.7,9.2,6.333,6,1,1015.77,
891,2020-06-11,3,14.1,14.3,16,17.8,87.58,7,15.2,0.3,8,6,1012,
891,2020-06-12,3,14.5,14.7,17.5,20.5,87.33,6.6,12.2,6.883,5,0,1010.28,
891,2020-06-13,3,15.6,15.5,18.5,22.5,88.92,6.5,13.1,7.833,6.4,0.5,1011.22,
891,2020-06-14,3,14.7,15.3,17.5,20.2,87.5,5.7,12.7,0.017,7.8,0.5,1012.66,
891,2020-06-15,3,12.4,13.8,18.7,24.3,70.13,4.8,10.1,15.433,2.2,0,1014.27,
891,2020-06-16,3,12.9,16,18.7,23.1,69.58,3,7.1,11.55,4.4,0,1013.5,
891,2020-06-17,3,12.5,15.3,19.5,23,80.88,3.7,8.8,13.833,5.5,0,1011.3,
891,2020-06-18,3,15.8,16.5,19.4,24.5,78.38,5.2,11.5,9.583,6.1,0.2,1009.78,
891,2020-06-19,3,13.9,15.6,16.8,19.3,85.58,5.4,10.7,4.55,7.8,0.1,1013.04,
891,2020-06-20,3,10,14.5,17.2,20.3,78.5,5.3,9.5,11.983,5.8,0,1018.05,
891,2020-06-21,3,9,13,18.7,23.4,68.29,3.3,13.8,14.2,3.8,0,1018.07,
891,2020-06-22,3,9.7,15.4,18,21.5,76.08,4.3,9.2,15.467,1.6,0,1021.91,
891,2020-06-23,3,7.1,13.8,18.4,21.8,66.88,2.8,8.6,15.217,0.8,0,1024.7,
891,2020-06-24,3,13.2,16.8,21.1,25.6,65.38,4,11.2,15.683,0.7,0,1024.15,
891,2020-06-25,3,17,18.6,22.5,26.8,72.21,6.2,12.1,14.05,2.1,0,1020.19,
891,2020-06-26,3,17.9,19.6,23.9,29.4,69.04,5.3,12.9,15.083,0.4,0,1012.83,
891,2020-06-27,3,16.8,18.4,22.3,28.4,76.71,3.4,12,7.75,4.3,1.5,1007.4,
891,2020-06-28,3,11.7,14.6,18,21,80.38,3.4,14.5,2.883,6.4,1.6,1009.2,
891,2020-06-29,3,11.4,13.3,17.2,21.2,62.83,5.1,14.6,8.333,5.1,0.1,1007.67,
891,2020-06-30,3,11.9,12.8,15.1,17,82.46,6.4,17.3,0.233,7.8,3.8,1003.73,
891,2020-07-01,3,11.1,13,17.3,24.1,81.13,4.4,13.9,7.517,6.2,2,1003.01,
891,2020-07-02,3,13,14.7,16.7,19.4,80.83,3.4,9.2,3.05,7.3,0.1,1007.43,
891,2020-07-03,3,13.2,14.3,17.1,20.1,74.75,4.1,13.1,2.483,7.8,1.1,1012.1,
891,2020-07-04,3,13.7,14.4,16.5,17.6,89.38,6,14.9,0,7.5,4.2,1008.58,
891,2020-07-05,3,14.8,15.6,17.6,20,82.13,6.8,18.8,1.5,7.4,7.9,1004.48,
891,2020-07-06,3,10.1,12.3,14.2,16.9,78,7.7,19.3,4.3,6.6,4.6,1008.67,
891,2020-07-07,3,10.1,11.7,13.9,17.2,75.63,5.4,15.4,3.033,6.4,11.7,1015.31,
891,2020-07-08,3,10.2,11.7,14.3,17.1,74.71,3.9,9.1,10.717,6,0.3,1013.77,
891,2020-07-09,3,9.5,11.3,13.3,15,81.17,3.7,9.6,0.033,7.8,32.2,1011.55,
891,2020-07-10,3,10.8,11.3,13.3,16.2,82.42,6.1,12.3,3.133,6,4.9,1010.35,
891,2020-07-11,3,9.5,12.2,15.1,18.2,70.5,5.6,11.2,11.533,2.6,0,1021.09,
891,2020-07-12,3,9,12.2,15.5,18.3,71.29,4.5,11.1,11.617,2.4,0,1025.9,
891,2020-07-13,3,8.9,11.8,16.4,20.3,71.04,3.1,8.4,11.15,7.2,0,1021.66,
891,2020-07-14,3,12.3,13.7,15.4,18.5,86.63,2.7,10.3,0,7.8,5.7,1012.75,
891,2020-07-15,3,11.1,13.4,15.9,18.6,79.5,3.8,8.4,5.217,6.4,0,1012.06,
891,2020-07-16,3,8.8,13,16.9,19.6,71.5,2.7,6.6,14.7,0.9,0,1015.5,
891,2020-07-17,3,7.4,13.3,17.6,20.8,75.38,1.9,6.8,15.017,0.8,0,1018.84,
891,2020-07-18,3,11.5,15.4,19.6,23,75.46,1.9,5.7,5.883,7.4,0,1017.64,
891,2020-07-19,3,15.8,16.4,20,24,76.38,3.3,10.3,2.433,8,0.8,1013.88,
891,2020-07-20,3,10.7,14.6,16.5,18.8,72.13,6,10.4,10.517,3.7,0.2,1017.44,
891,2020-07-21,3,11.4,14,16.2,19,71.25,4.5,12,6.9,5.3,2.3,1020.79,
891,2020-07-22,3,11.1,13.4,15.9,18.3,69.63,4.2,9,7.733,6.3,0,1020.88,
891,2020-07-23,3,12.5,14,17.5,21.3,66.46,2.5,8.9,1.05,8,0.1,1014.7,
891,2020-07-24,3,11.7,15.4,17.9,20.8,78.54,4.9,14,7.167,5.8,0.1,1008.41,
891,2020-07-25,3,11.8,15,18.6,23.7,81.21,3.3,10.6,3.5,7.4,18.4,1008.47,
891,2020-07-26,3,12.5,15,18.2,20.6,82.96,5.1,14.5,8.983,3.9,1.4,1007.47,
891,2020-07-27,3,12.6,14,18.1,21,76.67,3.1,10.5,1.317,7,0.4,1011.18,
891,2020-07-28,3,13.4,14.6,17.6,20,72.33,6.3,16.7,5.117,6.6,2.6,1007.13,
891,2020-07-29,3,12.6,12.9,15.6,18,74.79,6.9,18.6,3.167,7.5,5,1014.57,
891,2020-07-30,3,11.5,14,17.1,20.2,70.63,4,10.6,9.2,5.8,0,1019,
891,2020-07-31,3,11.3,14.4,19,23.3,76.08,2.2,10.4,11.567,2,0,1017.48,
891,2020-08-01,3,15.6,16.8,20.8,27.6,71.5,5.5,12,5.783,5.1,0,1012.54,
891,2020-08-02,3,13.5,15.8,18.2,22.3,80.83,4.2,11.5,6.983,5.9,1.5,1011.98,
891,2020-08-03,3,11.2,14.8,16.9,19.2,74.29,4.1,7.7,6.983,5.7,0,1012.22,
891,2020-08-04,3,12.2,13.8,16.5,19.1,72.04,3.1,8.5,10.6,3.6,0,1014.38,
891,2020-08-05,3,14.1,15,20.7,27,61.21,4,14,12.233,3.3,0,1014.18,
891,2020-08-06,3,15.4,17.6,22.2,28.5,65.63,2.6,7.4,12.183,3.1,0,1018.15,
891,2020-08-07,3,16.5,19.3,23.8,29.1,63.88,3.5,9.2,14.083,0.3,0,1019.93,
891,2020-08-08,3,18.2,20.3,23.7,28.9,77.71,2.9,7.7,11.617,3.4,0,1019.18,
891,2020-08-09,3,17,20.7,24.1,27.5,70.13,2.9,7.3,9.817,5.1,0,1018.2,
891,2020-08-10,3,18.2,20.6,24.7,30.3,73.71,4,9.8,13.233,0.3,0,1016.5,
891,2020-08-11,3,19.3,20.7,24.6,29.6,73.54,6.4,11.8,13.683,0.6,0,1017.75,
891,2020-08-12,3,18.1,19.2,23.8,29.8,68.92,7,12.2,13.7,2.1,0,1016.33,
891,2020-08-13,3,18.2,19.4,23.6,29.1,65.92,6.4,11.7,12.667,3,0,1012.97,
891,2020-08-14,3,18.3,19.3,22.7,27.8,70.25,3.8,8.2,8,6.2,0,1011.65,
891,2020-08-15,3,15.6,19.5,23.1,27.2,75.13,2.9,7.9,11.4,1.2,0,1013.18,
891,2020-08-16,3,18.2,19.9,24.6,29.3,66.88,3.8,8.1,12.033,2.2,0,1011.17,
891,2020-08-17,3,17.9,18.7,21.7,24,77.04,2.8,8.9,0.833,7.5,0.6,1008.1,
891,2020-08-18,3,15.5,17,20,23.3,82.04,3.3,8.8,11.033,5,0,1008.2,
891,2020-08-19,3,14.2,16.9,21,24.8,72.42,2.8,7.1,11.083,3.7,0,1008.36,
891,2020-08-20,3,19.7,20.2,22.6,26,74.67,3.3,9.6,0.667,7.7,1.4,1006.56,
891,2020-08-21,3,17.1,19.9,23.1,28,76.25,4.8,14.9,4.617,6.2,0.3,1006.99,
891,2020-08-22,3,15.3,16.7,19.5,23.4,78.79,4.1,15.1,4.2,6.5,7.3,1010.08,
891,2020-08-23,3,14.6,16,17.5,20.1,83.13,5.3,13.9,5,6.4,19.5,1010.15,
891,2020-08-24,3,12.8,14.2,16.3,19.8,86.63,4,12.7,1.9,7.5,10.9,1010.48,
891,2020-08-25,3,9.9,13.1,16.2,18.7,79,3.7,11,4.333,5.6,5.2,1006.86,
891,2020-08-26,3,14.6,15.1,17.5,20.1,83.58,8.3,22.1,3.067,7.3,12.1,997.87,
891,2020-08-27,3,11.7,13.3,16.4,18.3,66.88,6.2,21.1,3.933,6.7,0.2,1011.53,
891,2020-08-28,3,12.2,13.5,16.9,21.8,75.96,4.7,13.5,2.667,7,6.5,1000.07,
891,2020-08-29,3,10.8,12,16.1,20.3,77.42,2.7,9.6,7.05,5.6,2.2,1001.15,
891,2020-08-30,3,10.1,12.7,16.8,20.1,75.63,4.2,14.5,12.533,0.6,0,1008.64,
891,2020-08-31,3,9.7,14.9,16.7,18.9,65.79,2.7,9.7,4.55,6.5,0,1016.32,
891,2020-09-01,3,11.5,14.4,16.9,20,59.04,4.4,9.2,12.5,1.2,0,1018.63,
891,2020-09-02,3,9.1,14.2,16.9,19.8,73,3.3,8.1,11.833,2.4,0,1017.41,
891,2020-09-03,3,10.3,12.7,14.7,17.3,86.29,3.8,13.7,0.7,6.5,11,1014.35,
891,2020-09-04,3,13.1,15.3,17.2,20.2,77.67,3.8,8.9,4.55,7.1,5.7,1015.97,
891,2020-09-05,3,11.5,12.1,15.3,18.9,76.21,5.6,15.1,6.967,6.2,24.7,1013.63,
891,2020-09-06,3,9.9,11.2,13.8,17.3,81.96,3.8,12.2,2.95,7.1,9.7,1015.79,
891,2020-09-07,3,9.9,12.1,15.1,18.6,78.5,3.4,9.9,4.483,6.4,2,1020.02,
891,2020-09-08,3,13.8,14.8,17.2,19.9,86.58,5.4,14.8,2,7.3,0.6,1020.02,
891,2020-09-09,3,12.7,14.7,17.4,19,85.13,5.8,13.3,0.65,6.5,1.9,1016.91,
891,2020-09-10,3,10.4,12.9,15.7,17.9,64.25,4.6,11,7.233,5.4,0,1019.35,
891,2020-09-11,3,11.3,12.7,15.2,18.5,72.83,2.6,8.6,4.583,5.3,0,1015.35,
891,2020-09-12,3,10.6,11.9,15.3,19.1,76.21,5,17.5,5.133,3.9,0.1,1015.5,
891,2020-09-13,3,11.1,12.2,16.9,22.3,78.88,4.2,14.6,8.967,,0,1021.43,
891,2020-09-14,3,12.4,13.6,19.1,26.1,78.54,2.5,6.2,11.683,1.7,0,1023.45,
891,2020-09-15,3,13.7,17,19.9,24.9,79.04,2.5,5.5,9.4,5.4,0,1018.39,
891,2020-09-16,3,12.5,14.5,16.7,18.4,83,5.9,15.3,3.6,4.1,0,1019.49,
891,2020-09-17,3,10.7,12.1,14.5,17.5,64.29,5.3,10.4,10.417,1.6,0,1029.06,
891,2020-09-18,3,7.4,10.1,14.3,17.8,68.17,4.8,8.6,11.9,2.3,0,1027.76,
891,2020-09-19,3,9.1,11.5,15,19.3,68.83,5.9,10.4,9,7,0,1021.98,
891,2020-09-20,3,9.5,12.3,15.6,20,72,4.2,7.9,11.7,0.3,0,1019.35,
891,2020-09-21,3,9.1,12.5,16.1,20.6,77.33,2.7,6.6,11,0,0,1015.96,
891,2020-09-22,3,6.2,11.5,16,20.9,79.63,1.4,5.1,11.15,0,0,1008.35,
891,2020-09-23,3,9.8,12.3,17.2,22.1,71.75,3.1,9.6,6.917,3.4,1.3,1001.38,
891,2020-09-24,3,10.7,13.1,15.7,17.9,66.08,4.6,15,7.05,6,0,998.44,
891,2020-09-25,3,5,10.1,13.2,16.1,67.58,3.4,10.1,4.9,6.5,0.3,994.5,
891,2020-09-26,3,5.6,8.1,12.7,16.4,77.71,3.7,17.8,0.7,7.8,4.4,995.52,
891,2020-09-27,3,11.5,12.3,13.5,16.5,87,4.9,16.7,0,7.7,1.1,1001.61,
891,2020-09-28,3,11.6,11.7,12.3,13,94.46,2.5,6.5,0,7.8,0.8,1007.76,
891,2020-09-29,3,11,11.9,13.6,17.2,83.54,2.6,7.1,2.117,7.8,0.1,1013.3,
891,2020-09-30,3,11.2,11.3,15,19.6,86.17,3,9.2,5.667,5.3,0,1012.74,
891,2020-10-01,3,10.3,11.7,14.8,17.5,79.75,6.7,15.1,4.183,6.2,0,1002.58,
891,2020-10-02,3,7,11.5,14.3,16.4,85.38,6.8,17.7,0.067,7.5,0,998.12,
891,2020-10-03,3,10.1,11.7,15.1,16.8,84.96,10.3,19.1,0.033,7.8,0,991.19,
891,2020-10-04,3,8.5,10.2,12.6,15.6,72.92,4.2,15.5,5.383,4.3,0.2,992.4,
891,2020-10-05,3,7.5,9.5,12,15.4,72.21,4,12.1,2.467,5.3,1.4,998.78,
891,2020-10-06,3,8.6,10.1,12.4,15.4,87.04,4.3,13.2,0.7,7.3,1.7,995.32,
891,2020-10-07,3,9.1,11,12.8,16.2,84.96,5.1,14.6,5.833,6.8,5.8,1003.84,
891,2020-10-08,3,9.4,10.3,12.3,15.1,89.04,5.7,17.4,0,7.5,19.4,1007.79,
891,2020-10-09,3,7.6,10.6,12.4,15.1,78.29,3.9,11.3,5.8,6.1,6.6,1013.41,
891,2020-10-10,3,5.9,7.4,9.7,11.9,79.46,5.2,14.9,6.933,5.3,1.5,1012.77,
891,2020-10-11,3,5.4,6.9,9.7,11.7,84.88,4.4,13.1,1.483,5.8,8.5,1013.29,
891,2020-10-12,3,2.4,7.5,10.5,14.5,84.71,2.7,7.8,3.2,5.2,0.5,1015.26,
891,2020-10-13,3,3.5,5.7,9.9,13.5,82.96,3.8,8.6,8.35,5.6,0,1014.83,
891,2020-10-14,3,7.7,8.8,10.1,11.7,77.58,5.7,14.7,3.583,7.9,0,1017.88,
891,2020-10-15,3,6.3,7.6,9.2,11.1,74.79,5.4,13.8,5.983,4.4,0,1020.45,
891,2020-10-16,3,4.9,7.3,9.3,11.4,79.67,2.4,9.4,7.883,3.8,0,1021.67,
891,2020-10-17,3,5,8.6,10.1,12.4,83.88,2.8,7.4,8.967,3.7,0.1,1018.88,
891,2020-10-18,3,5.6,8.5,10.6,13.1,76.08,5.6,14.3,1.65,7.5,1.6,1016.46,
891,2020-10-19,3,5.8,8.2,9.8,12.3,81.79,3,10.4,2.4,7.5,0,1018.07,
891,2020-10-20,3,6.1,7.1,9.8,13.6,82.21,3.7,10.4,0.717,8,0.5,1008.5,
891,2020-10-21,3,11.7,12.4,14.1,18,86.75,4.5,21.9,0,7.7,4.6,1000.67,
891,2020-10-22,3,10.8,12.4,14.5,16.5,78.08,6,20.1,5.667,4.7,0,1005.95,
891,2020-10-23,3,7.6,9.6,12.2,14.7,87.08,3.4,10,6.367,4.8,0,1007.76,
891,2020-10-24,3,10.4,11.9,13,14.2,83.54,4.5,12.4,2.283,7.2,0,1006.45,
891,2020-10-25,3,8.2,10.2,12.8,15.5,84.04,4,13.8,0,7.8,3.2,999.78,
891,2020-10-26,3,6.1,8.2,10.1,12.3,83.13,3.2,10.4,1.1,5,0,998.7,
891,2020-10-27,3,6.7,8.5,10.3,12.2,78,4.4,13.1,1.833,5.6,2.1,1000.2,
891,2020-10-28,3,8.1,9.4,11,13.5,80.63,5,14.5,4.617,6,2.7,1001.66,
891,2020-10-29,3,6.5,8.1,9.9,12,85.42,5.4,19.3,2.617,7,15,1007.55,
891,2020-10-30,3,9.6,10.2,13,14.1,95.5,5.7,16.2,0,7.6,7.6,1011.99,
891,2020-10-31,3,11.1,12.3,13.6,14.9,90.42,3.6,10.9,0.033,7.7,1.5,1015.42,
891,2020-11-01,3,9.2,10.5,13.4,17.2,82.71,4.3,14.2,3.117,7.5,1.1,1006.56,
891,2020-11-02,3,9.9,11.8,16.7,19.4,80.54,7.3,20.3,0.9,6.2,0.1,1002.3,
891,2020-11-03,3,6.5,8.2,10.4,11.9,72.5,5.7,15.8,6.65,2.6,0.5,1015.95,
891,2020-11-04,3,6.1,8,9.3,11.7,82.83,5.3,15.3,5.333,4.4,2.3,1026.25,
891,2020-11-05,3,6.5,8.5,10,11.4,88.17,4.9,12.4,0.583,7.4,0.3,1033.63,
891,2020-11-06,3,9.1,10.1,11.2,12.1,91.75,2.9,9.2,0,8,0,1031.75,
891,2020-11-07,3,1.8,6.2,8.8,12.2,83.46,2.5,9.8,7.7,2,0,1024.12,
891,2020-11-08,3,6,7.2,9.1,11.3,88.29,5.7,10.4,7.383,0.9,0,1022.79,
891,2020-11-09,3,5.5,5.3,6.4,7.6,94.63,5.2,10,0,8,0,1024.26,
891,2020-11-10,3,4.5,4.6,5.3,6.1,95.75,4.5,9.2,0,8,0.1,1025.65,
891,2020-11-11,3,4.5,4.6,6.3,8.3,97.75,2.4,6.4,0,7.9,0.1,1023.13,
891,2020-11-12,3,5.8,7.2,8.7,10.4,93.13,3.5,9.3,0.65,7,3.2,1014.86,
891,2020-11-13,3,4.1,5.4,9.1,11.5,89,3.2,10,5.583,4.9,3.9,1014.05,
891,2020-11-14,3,6,8.6,10.9,12.8,92.46,2.6,6.9,0,8,0,1012.73,
891,2020-11-15,3,6.9,8.6,12.7,15.6,78.83,4.4,20.1,2.95,6.5,4.5,1003.25,
891,2020-11-16,3,6.7,8.7,10.1,11.2,84.21,5.7,15.5,1.217,6.5,0.8,1006.6,
891,2020-11-17,3,7.7,8.8,11,12.8,90.63,5.2,12.7,0,7.8,1.8,1017.1,
891,2020-11-18,3,8.6,10.7,11.8,13.8,84.29,5.4,15.3,1.583,6,1.7,1016.46,
891,2020-11-19,3,3.3,5.4,8.8,13.1,75.67,9.5,21.8,1.333,6,5,1013.66,
891,2020-11-20,3,2,3.8,6.2,7.9,78.08,4.9,19.6,2.283,5,0.4,1028.42,
891,2020-11-21,3,2.2,3.8,6.9,9.8,87.08,6.4,16.1,0,7.6,6,1022.1,
891,2020-11-22,3,4.9,6.8,9.1,10.5,83.79,5.7,13.8,1.667,6.1,2.4,1018.73,
891,2020-11-23,3,3.9,5.7,8,10.3,79.58,5.3,17,2.7,7,1.5,1022.37,
891,2020-11-24,3,3.3,5.4,7.4,9.2,84.29,4.4,11.5,0,7.8,0,1019.47,
891,2020-11-25,3,1.6,3,5.4,8.4,84.79,3,8.3,5.083,8,0,1014.94,
891,2020-11-26,3,1.1,6.2,8.2,10.7,88.92,3.6,9.2,2.167,7,0.2,1017.41,
891,2020-11-27,3,0,4.4,6.2,7.1,94.08,3.2,8.5,0.267,5.9,0,1020.35,
891,2020-11-28,3,0.5,0.6,2.4,4.5,94.04,5.8,12.1,0,7.8,0,1023.68,
891,2020-11-29,3,0.2,2.6,3.7,4.7,77.71,2.9,8.4,0,6.2,0,1026.93,
891,2020-11-30,3,0.7,1.1,2.3,3.8,80.83,3.4,10.9,0,7.8,6.2,1018.44,
891,2020-12-01,3,3.3,3.8,4.8,5.4,93.75,4.4,9.9,0,7.9,0,1013.81,
891,2020-12-02,3,2,2.7,3.7,4.8,87.92,3.3,8.3,0,8,0,1016.17,
891,2020-12-03,3,1.5,2.2,3.1,4.4,88.46,4.5,11.9,0,8,0,998.06,
891,2020-12-04,3,0.5,1.1,3,5.1,81.58,5.8,16.8,0.333,7.7,0.1,988.42,
891,2020-12-05,3,-0.2,0.7,2.4,4.2,91.58,3.9,11.3,0,7.5,3.2,996.75,
891,2020-12-06,3,1.5,2.9,4.5,5.8,94.21,4,8.6,0,7.9,1.3,1000.3,
891,2020-12-07,3,2.7,4,4.9,5.6,92.5,3.7,10.9,0.017,7.8,0.4,996.13,
891,2020-12-08,3,1.8,3.9,4.9,5.8,86.88,4.2,10.1,3.433,6.8,0,1004.86,
891,2020-12-09,3,2.5,2.7,3.4,5.4,90.25,4.2,11.1,0,7.9,0,1008.64,
891,2020-12-10,3,2,2.2,3.1,3.8,92.13,3.3,10.3,0,7.9,0.1,1006.64,
891,2020-12-11,3,2,2.1,2.8,3.4,89.38,7.5,14.4,0,7.9,0,997.43,
891,2020-12-12,3,2.2,2.4,3.1,3.6,91.46,7.4,14.4,0,7.9,0.1,997.95,
891,2020-12-13,3,2.9,3.2,4.4,5.9,96.42,3.5,8.3,0,8,0.3,1007.33,
891,2020-12-14,3,4.7,5.8,7.5,9.8,88.88,3.7,10.7,0,7.8,14.7,1005.8,
891,2020-12-15,3,6.3,6.9,8.1,8.9,94.54,3.2,8.6,0,7.8,7,1007.83,
891,2020-12-16,3,4.5,6.3,7.6,8.8,90.92,3,9,3.417,7.3,0.4,1015.22,
891,2020-12-17,3,5.9,7.6,8.5,9.2,89.58,4.2,11.2,0.117,6.7,5.6,1013.98,
891,2020-12-18,3,3.7,5.5,7.4,9,85.83,4,14,4.5,6,0,1017.31,
891,2020-12-19,3,2.1,3.7,6.9,10.5,86.5,3.7,9.7,5.333,3.8,0,1012.56,
891,2020-12-20,3,4.6,6.9,8.5,9.9,86.29,2.9,8.6,0.317,7.6,0.2,1014.69,
891,2020-12-21,3,3.3,5.2,7,8.1,88.54,3.8,10.7,2.167,6.6,14.8,1013.08,
891,2020-12-22,3,2.5,5.6,8.7,11.4,89,4.9,14.6,0.75,7.4,1.3,1006.15,
